group_id,record_type,reinsurer,participation,tipo,reasegurado,asegurado,direccion,periodo_inicio,periodo_fin,actividad,estimado_ingresos,interes_asegurable,limite_max_res,riesgos_cubiertos,condiciones_reaseguro,exclusiones,deducibles,prima_neta,soporte,base_cobertura,territorialidad,jurisdiccion,terminos_pago,anexos_clausulas,panel_participantes
100,Cotizacion,Sirius,11,Reaseguro Facultativo de Autos,"Seguros Central, S.A., Promex",Retail Gamma,"Boulevard Hidalgo 943, Col. Roma, Puebla, México",2026-11-14,2029-08-10,Servicios financieros,1196479,Incendios y daños por agua,2500000,"Terremoto, Robo, Responsabilidad civil, Agua","Gastos de defensa incluidos, Arbitraje internacional, Texto LMA 6000A, Sujeto a LMA 2001, Cancelación por mutuo acuerdo","Contaminación, Negligencia grave, Actos delictivos, Daños intencionales, Inestabilidad política, Guerra y terrorismo","General: USD 4,000; Robo: USD 53,000; Terremoto: USD 10,000; Daños eléctricos: USD 9,000; Pérdida de ingresos: USD 95,000",717816,11% parte del 100%,Suma Agregada,Estados Unidos,Leyes mexicanas,60 días,"NMA 2962 (Exclusión de Daños por Agua), LMA 3100A (Limitación de Sanciones), LMA 3092 (All Risks)",
100,Cotizacion,Delta,3,Reaseguro Facultativo de Autos,"Seguros Central, S.A., Promex",Retail Gamma,"Boulevard Hidalgo 943, Col. Roma, Puebla, México",2026-11-14,2029-08-10,Servicios financieros,1196479,Incendios y daños por agua,2500000,"Terremoto, Robo, Responsabilidad civil, Agua","Gastos de defensa incluidos, Arbitraje internacional, Texto LMA 6000A, Sujeto a LMA 2001, Cancelación por mutuo acuerdo","Contaminación, Negligencia grave, Actos delictivos, Daños intencionales, Inestabilidad política, Guerra y terrorismo","General: USD 4,000; Robo: USD 53,000; Terremoto: USD 10,000; Daños eléctricos: USD 9,000; Pérdida de ingresos: USD 95,000",195768,3% parte del 100%,Suma Agregada,Estados Unidos,Leyes mexicanas,60 días,"NMA 2962 (Exclusión de Daños por Agua), LMA 3100A (Limitación de Sanciones), LMA 3092 (All Risks)",
100,Cotizacion,Lambda,8,Reaseguro Facultativo de Autos,"Seguros Central, S.A., Promex",Retail Gamma,"Boulevard Hidalgo 943, Col. Roma, Puebla, México",2026-11-14,2029-08-10,Servicios financieros,1196479,Incendios y daños por agua,2500000,"Terremoto, Robo, Responsabilidad civil, Agua","Gastos de defensa incluidos, Arbitraje internacional, Texto LMA 6000A, Sujeto a LMA 2001, Cancelación por mutuo acuerdo","Contaminación, Negligencia grave, Actos delictivos, Daños intencionales, Inestabilidad política, Guerra y terrorismo","General: USD 4,000; Robo: USD 53,000; Terremoto: USD 10,000; Daños eléctricos: USD 9,000; Pérdida de ingresos: USD 95,000",522048,8% parte del 100%,Suma Agregada,Estados Unidos,Leyes mexicanas,60 días,"NMA 2962 (Exclusión de Daños por Agua), LMA 3100A (Limitación de Sanciones), LMA 3092 (All Risks)",
100,Cotizacion,Virgo,10,Reaseguro Facultativo de Autos,"Seguros Central, S.A., Promex",Retail Gamma,"Boulevard Hidalgo 943, Col. Roma, Puebla, México",2026-11-14,2029-08-10,Servicios financieros,1196479,Incendios y daños por agua,2500000,"Terremoto, Robo, Responsabilidad civil, Agua","Gastos de defensa incluidos, Arbitraje internacional, Texto LMA 6000A, Sujeto a LMA 2001, Cancelación por mutuo acuerdo","Contaminación, Negligencia grave, Actos delictivos, Daños intencionales, Inestabilidad política, Guerra y terrorismo","General: USD 4,000; Robo: USD 53,000; Terremoto: USD 10,000; Daños eléctricos: USD 9,000; Pérdida de ingresos: USD 95,000",652560,10% parte del 100%,Suma Agregada,Estados Unidos,Leyes mexicanas,60 días,"NMA 2962 (Exclusión de Daños por Agua), LMA 3100A (Limitación de Sanciones), LMA 3092 (All Risks)",
100,Cotizacion,Reasegurador 10,17,Reaseguro Facultativo de Autos,"Seguros Central, S.A., Promex",Retail Gamma,"Boulevard Hidalgo 943, Col. Roma, Puebla, México",2026-11-14,2029-08-10,Servicios financieros,1196479,Incendios y daños por agua,2500000,"Terremoto, Robo, Responsabilidad civil, Agua","Gastos de defensa incluidos, Arbitraje internacional, Texto LMA 6000A, Sujeto a LMA 2001, Cancelación por mutuo acuerdo","Contaminación, Negligencia grave, Actos delictivos, Daños intencionales, Inestabilidad política, Guerra y terrorismo","General: USD 4,000; Robo: USD 53,000; Terremoto: USD 10,000; Daños eléctricos: USD 9,000; Pérdida de ingresos: USD 95,000",1109352,17% parte del 100%,Suma Agregada,Estados Unidos,Leyes mexicanas,60 días,"NMA 2962 (Exclusión de Daños por Agua), LMA 3100A (Limitación de Sanciones), LMA 3092 (All Risks)",
100,Cotizacion,Omega,13,Reaseguro Facultativo de Autos,"Seguros Central, S.A., Promex",Retail Gamma,"Boulevard Hidalgo 943, Col. Roma, Puebla, México",2026-11-14,2029-08-10,Servicios financieros,1196479,Incendios y daños por agua,2500000,"Terremoto, Robo, Responsabilidad civil, Agua","Gastos de defensa incluidos, Arbitraje internacional, Texto LMA 6000A, Sujeto a LMA 2001, Cancelación por mutuo acuerdo","Contaminación, Negligencia grave, Actos delictivos, Daños intencionales, Inestabilidad política, Guerra y terrorismo","General: USD 4,000; Robo: USD 53,000; Terremoto: USD 10,000; Daños eléctricos: USD 9,000; Pérdida de ingresos: USD 95,000",848328,13% parte del 100%,Suma Agregada,Estados Unidos,Leyes mexicanas,60 días,"NMA 2962 (Exclusión de Daños por Agua), LMA 3100A (Limitación de Sanciones), LMA 3092 (All Risks)",
100,Cotizacion,Reasegurador 7,9,Reaseguro Facultativo de Autos,"Seguros Central, S.A., Promex",Retail Gamma,"Boulevard Hidalgo 943, Col. Roma, Puebla, México",2026-11-14,2029-08-10,Servicios financieros,1196479,Incendios y daños por agua,2500000,"Terremoto, Robo, Responsabilidad civil, Agua","Gastos de defensa incluidos, Arbitraje internacional, Texto LMA 6000A, Sujeto a LMA 2001, Cancelación por mutuo acuerdo","Contaminación, Negligencia grave, Actos delictivos, Daños intencionales, Inestabilidad política, Guerra y terrorismo","General: USD 4,000; Robo: USD 53,000; Terremoto: USD 10,000; Daños eléctricos: USD 9,000; Pérdida de ingresos: USD 95,000",587304,9% parte del 100%,Suma Agregada,Estados Unidos,Leyes mexicanas,60 días,"NMA 2962 (Exclusión de Daños por Agua), LMA 3100A (Limitación de Sanciones), LMA 3092 (All Risks)",
100,Cotizacion,Epsilon,12,Reaseguro Facultativo de Autos,"Seguros Central, S.A., Promex",Retail Gamma,"Boulevard Hidalgo 943, Col. Roma, Puebla, México",2026-11-14,2029-08-10,Servicios financieros,1196479,Incendios y daños por agua,2500000,"Terremoto, Robo, Responsabilidad civil, Agua","Gastos de defensa incluidos, Arbitraje internacional, Texto LMA 6000A, Sujeto a LMA 2001, Cancelación por mutuo acuerdo","Contaminación, Negligencia grave, Actos delictivos, Daños intencionales, Inestabilidad política, Guerra y terrorismo","General: USD 4,000; Robo: USD 53,000; Terremoto: USD 10,000; Daños eléctricos: USD 9,000; Pérdida de ingresos: USD 95,000",783072,12% parte del 100%,Suma Agregada,Estados Unidos,Leyes mexicanas,60 días,"NMA 2962 (Exclusión de Daños por Agua), LMA 3100A (Limitación de Sanciones), LMA 3092 (All Risks)",
101,Nota,,,Reaseguro Facultativo de Vida,"Compañía de Seguros del Valle, Mutua Mexicana",Retail Gamma,"Calle Insurgentes 213, Col. Centro, Mérida, México",2027-08-02,2029-10-11,Comercio minorista,8294401,Robo y vandalismo,2500000,"Robo, Vandalismo, Terremoto, Daños eléctricos, Agua, Pérdida de ingresos","Gastos de defensa incluidos, Sujeto a LMA 2001, Cancelación por mutuo acuerdo, Arbitraje internacional","Negligencia grave, Guerra y terrorismo, Actos delictivos, Contaminación, Inestabilidad política, Daños intencionales","General: USD 58,000; Robo: USD 23,000; Terremoto: USD 80,000; Daños eléctricos: USD 59,000; Pérdida de ingresos: USD 4,000",4984998,100% parte del 100%,Suma Directa,Estados Unidos,Leyes Latam,60 días,"LMA 3100A (Limitación de Sanciones), NMA 2910 (Cláusula de Inhabilitación)",Libra 61% parte del 100%; Reasegurador 6 39% parte del 100%
101,Cotizacion,Libra,61,Reaseguro Facultativo de Vida,"Compañía de Seguros del Valle, Mutua Mexicana",Retail Gamma,"Calle Insurgentes 213, Col. Centro, Mérida, México",2027-08-02,2029-10-11,Comercio minorista,8294401,Robo y vandalismo,2500000,"Robo, Vandalismo, Terremoto, Daños eléctricos, Agua, Pérdida de ingresos","Gastos de defensa incluidos, Sujeto a LMA 2001, Cancelación por mutuo acuerdo, Arbitraje internacional","Negligencia grave, Guerra y terrorismo, Actos delictivos, Contaminación, Inestabilidad política, Daños intencionales","General: USD 58,000; Robo: USD 23,000; Terremoto: USD 80,000; Daños eléctricos: USD 59,000; Pérdida de ingresos: USD 4,000",3040848,61% parte del 100%,Suma Directa,Estados Unidos,Leyes Latam,60 días,"LMA 3100A (Limitación de Sanciones), NMA 2910 (Cláusula de Inhabilitación)",
101,Cotizacion,Reasegurador 6,39,Reaseguro Facultativo de Vida,"Compañía de Seguros del Valle, Mutua Mexicana",Retail Gamma,"Calle Insurgentes 213, Col. Centro, Mérida, México",2027-08-02,2029-10-11,Comercio minorista,8294401,Robo y vandalismo,2500000,"Robo, Vandalismo, Terremoto, Daños eléctricos, Agua, Pérdida de ingresos","Gastos de defensa incluidos, Sujeto a LMA 2001, Cancelación por mutuo acuerdo, Arbitraje internacional","Negligencia grave, Guerra y terrorismo, Actos delictivos, Contaminación, Inestabilidad política, Daños intencionales","General: USD 58,000; Robo: USD 23,000; Terremoto: USD 80,000; Daños eléctricos: USD 59,000; Pérdida de ingresos: USD 4,000",1944149,39% parte del 100%,Suma Directa,Estados Unidos,Leyes Latam,60 días,"LMA 3100A (Limitación de Sanciones), NMA 2910 (Cláusula de Inhabilitación)",
102,Nota,,,Reaseguro Facultativo de Autos,"Compañía de Seguros del Valle, Aseguradora Nacional",Energía Epsilon,"Calle Insurgentes 622, Col. Centro, Querétaro, México",2027-02-17,2028-11-01,Comercio minorista,2556083,Incendios y daños por agua,7500000,"Responsabilidad civil, Agua, Vandalismo, Terremoto, Pérdida de ingresos, Robo, Daños eléctricos","Cancelación por mutuo acuerdo, Gastos de defensa incluidos, Texto LMA 6000A","Inestabilidad política, Actos delictivos, Contaminación, Guerra y terrorismo, Daños intencionales","General: USD 56,000; Robo: USD 29,000; Terremoto: USD 20,000; Daños eléctricos: USD 53,000; Pérdida de ingresos: USD 29,000",1602440,100% parte del 100%,Suma Agregada,México,Leyes de Estados Unidos,90 días,"NMA 2910 (Cláusula de Inhabilitación), NMA 2962 (Exclusión de Daños por Agua), LMA 3100A (Limitación de Sanciones)",Theta 100% parte del 100%
102,Cotizacion,Theta,100,Reaseguro Facultativo de Autos,"Compañía de Seguros del Valle, Aseguradora Nacional",Energía Epsilon,"Calle Insurgentes 622, Col. Centro, Querétaro, México",2027-02-17,2028-11-01,Comercio minorista,6385212,Incendios y daños por agua,7500000,"Responsabilidad civil, Pérdida de ingresos, Vandalismo, Robo","Cancelación por mutuo acuerdo, Gastos de defensa incluidos, Texto LMA 6000A","Inestabilidad política, Actos delictivos, Contaminación, Guerra y terrorismo, Daños intencionales","General: USD 56,000; Robo: USD 29,000; Terremoto: USD 20,000; Daños eléctricos: USD 53,000; Pérdida de ingresos: USD 29,000",1602440,100% parte del 100%,Suma Agregada,México,Leyes de Estados Unidos,90 días,"NMA 2910 (Cláusula de Inhabilitación), NMA 2962 (Exclusión de Daños por Agua), LMA 3100A (Limitación de Sanciones)",
103,Nota,,,Reaseguro Facultativo Todo Riesgo,"Compañía de Seguros del Valle, Mutua Mexicana","Servicios Integrales del Valle, S.A. de C.V.","Camino Real 955, Col. Condesa, Ciudad de México, México",2025-11-20,2028-01-13,Desarrollo de software,4107878,Incendios y daños por agua,7500000,"Pérdida de ingresos, Daños eléctricos, Terremoto, Agua, Vandalismo, Incendio","Gastos de defensa incluidos, Texto LMA 6000A","Contaminación, Actos delictivos, Guerra y terrorismo","General: USD 9,000; Robo: USD 13,000; Terremoto: USD 90,000; Daños eléctricos: USD 24,000; Pérdida de ingresos: USD 89,000",2630425,100% parte del 100%,Suma Agregada,México,Leyes mexicanas,45 días,"NMA 464 (Exclusión de Guerra y Guerra Civil), NMA 2738 (Control de Reclamos), NMA 2962 (Exclusión de Daños por Agua), NMA 2910 (Cláusula de Inhabilitación)",Reasegurador 11 66% parte del 100%; Sigma 34% parte del 100%
103,Cotizacion,Reasegurador 11,66,Reaseguro Facultativo Todo Riesgo,"Compañía de Seguros del Valle, Mutua Mexicana","Servicios Integrales del Valle, S.A. de C.V.","Camino Real 955, Col. Condesa, Ciudad de México, México",2025-11-20,2028-01-13,Desarrollo de software,4107878,Incendios y daños por agua,7500000,"Pérdida de ingresos, Daños eléctricos, Terremoto, Agua, Vandalismo, Incendio","Gastos de defensa incluidos, Texto LMA 6000A","Contaminación, Actos delictivos, Guerra y terrorismo","General: USD 9,000; Robo: USD 13,000; Terremoto: USD 90,000; Daños eléctricos: USD 24,000; Pérdida de ingresos: USD 89,000",1736080,66% parte del 100%,Suma Agregada,México,Leyes mexicanas,45 días,"NMA 464 (Exclusión de Guerra y Guerra Civil), NMA 2738 (Control de Reclamos), NMA 2962 (Exclusión de Daños por Agua), NMA 2910 (Cláusula de Inhabilitación)",
103,Cotizacion,Sigma,34,Reaseguro Facultativo Todo Riesgo,"Compañía de Seguros del Valle, Mutua Mexicana","Servicios Integrales del Valle, S.A. de C.V.","Camino Real 955, Col. Condesa, Ciudad de México, México",2025-11-20,2028-01-13,Desarrollo de software,4107878,Incendios y daños por agua,7500000,"Pérdida de ingresos, Daños eléctricos, Terremoto, Agua, Vandalismo, Incendio","Gastos de defensa incluidos, Texto LMA 6000A","Contaminación, Actos delictivos, Guerra y terrorismo","General: USD 9,000; Robo: USD 13,000; Terremoto: USD 90,000; Daños eléctricos: USD 24,000; Pérdida de ingresos: USD 89,000",894344,34% parte del 100%,Suma Agregada,México,Leyes mexicanas,45 días,"NMA 464 (Exclusión de Guerra y Guerra Civil), NMA 2738 (Control de Reclamos), NMA 2962 (Exclusión de Daños por Agua), NMA 2910 (Cláusula de Inhabilitación)",
104,Nota,,,Reaseguro Facultativo de Autos,"Grupo Financiero Unión, Promex",Transportes Beta,"Av. Unión 171, Col. Polanco, Guadalajara, México",2027-05-10,2030-01-22,Servicios financieros,744976,Responsabilidad civil y pérdidas operacionales,7500000,"Terremoto, Incendio, Responsabilidad civil, Vandalismo, Pérdida de ingresos, Robo, Agua","Gastos de defensa incluidos, Arbitraje internacional, Sujeto a LMA 2001, Cancelación por mutuo acuerdo, Texto LMA 6000A","Daños intencionales, Guerra y terrorismo, Actos delictivos, Contaminación, Inestabilidad política, Negligencia grave","General: USD 45,000; Robo: USD 20,000; Terremoto: USD 57,000; Daños eléctricos: USD 9,000; Pérdida de ingresos: USD 70,000",3807109,100% parte del 100%,Suma Agregada,Estados Unidos,Leyes mexicanas,60 días,"NMA 464 (Exclusión de Guerra y Guerra Civil), NMA 2962 (Exclusión de Daños por Agua), NMA 2738 (Control de Reclamos), LMA 3100A (Limitación de Sanciones), NMA 2910 (Cláusula de Inhabilitación), LMA 3092 (All Risks)",Epsilon 100% parte del 100%
104,Cotizacion,Epsilon,100,Reaseguro Facultativo de Autos,"Grupo Financiero Unión, Promex",Transportes Beta,"Av. Unión 171, Col. Polanco, Guadalajara, México",2027-05-10,2030-01-22,Servicios financieros,744976,Responsabilidad civil y pérdidas operacionales,7500000,"Terremoto, Incendio, Responsabilidad civil, Vandalismo, Pérdida de ingresos, Robo, Agua","Gastos de defensa incluidos, Arbitraje internacional, Sujeto a LMA 2001, Cancelación por mutuo acuerdo, Texto LMA 6000A","Daños intencionales, Guerra y terrorismo, Actos delictivos, Contaminación, Inestabilidad política, Negligencia grave","General: USD 45,000; Robo: USD 20,000; Terremoto: USD 57,000; Daños eléctricos: USD 9,000; Pérdida de ingresos: USD 70,000",3807109,100% parte del 100%,Suma Agregada,Estados Unidos,Leyes mexicanas,60 días,"NMA 464 (Exclusión de Guerra y Guerra Civil), NMA 2962 (Exclusión de Daños por Agua), NMA 2738 (Control de Reclamos), LMA 3100A (Limitación de Sanciones), NMA 2910 (Cláusula de Inhabilitación), LMA 3092 (All Risks)",
105,Nota,,,Reaseguro Facultativo de Vida,"Compañía de Seguros del Valle, Mutua Mexicana",Constructora Alpha,"Calle Insurgentes 261, Col. Roma, Puebla, México",2025-06-24,2027-08-02,Administración de edificios corporativos y comerciales,19021013,Daños materiales y pérdidas por cualquier causa en inmuebles y activos,5000000,"Responsabilidad civil, Daños eléctricos, Vandalismo, Agua, Terremoto, Robo, Incendio, Pérdida de ingresos","Gastos de defensa incluidos, Sujeto a LMA 2001, Arbitraje internacional","Actos delictivos, Negligencia grave, Inestabilidad política, Guerra y terrorismo, Daños intencionales","General: USD 93,000; Robo: USD 62,000; Terremoto: USD 87,000; Daños eléctricos: USD 23,000; Pérdida de ingresos: USD 60,000",9614476,100% parte del 100%,Ocurrencia,Latinoamérica,Leyes de Canadá,45 días,"NMA 2738 (Control de Reclamos), NMA 2910 (Cláusula de Inhabilitación), LMA 3092 (All Risks), LMA 3100A (Limitación de Sanciones), NMA 464 (Exclusión de Guerra y Guerra Civil)",Reasegurador 20 46% parte del 100%; Atlas 46% parte del 100%; Theta 8% parte del 100%
105,Cotizacion,Reasegurador 20,46,Reaseguro Facultativo de Vida,"Compañía de Seguros del Valle, Mutua Mexicana",Constructora Alpha,"Calle Insurgentes 261, Col. Roma, Puebla, México",2025-06-24,2027-08-02,Administración de edificios corporativos y comerciales,19021013,Daños materiales y pérdidas por cualquier causa en inmuebles y activos,5000000,"Responsabilidad civil, Daños eléctricos, Vandalismo, Agua, Terremoto, Robo, Incendio, Pérdida de ingresos","Gastos de defensa incluidos, Sujeto a LMA 2001, Arbitraje internacional","Actos delictivos, Negligencia grave, Inestabilidad política, Guerra y terrorismo, Daños intencionales","General: USD 93,000; Robo: USD 62,000; Terremoto: USD 87,000; Daños eléctricos: USD 23,000; Pérdida de ingresos: USD 60,000",4422658,46% parte del 100%,Ocurrencia,Latinoamérica,Leyes de Canadá,45 días,"NMA 2738 (Control de Reclamos), NMA 2910 (Cláusula de Inhabilitación), LMA 3092 (All Risks), LMA 3100A (Limitación de Sanciones), NMA 464 (Exclusión de Guerra y Guerra Civil)",
105,Cotizacion,Atlas,46,Reaseguro Facultativo de Vida,"Compañía de Seguros del Valle, Mutua Mexicana",Constructora Alpha,"Calle Insurgentes 261, Col. Roma, Puebla, México",2025-06-24,2027-08-02,Administración de edificios corporativos y comerciales,19021013,Daños materiales y pérdidas por cualquier causa en inmuebles y activos,5000000,"Responsabilidad civil, Daños eléctricos, Vandalismo, Agua, Terremoto, Robo, Incendio, Pérdida de ingresos","Gastos de defensa incluidos, Sujeto a LMA 2001, Arbitraje internacional","Actos delictivos, Negligencia grave, Inestabilidad política, Guerra y terrorismo, Daños intencionales","General: USD 93,000; Robo: USD 62,000; Terremoto: USD 87,000; Daños eléctricos: USD 23,000; Pérdida de ingresos: USD 60,000",4422658,46% parte del 100%,Ocurrencia,Latinoamérica,Leyes de Canadá,45 días,"NMA 2738 (Control de Reclamos), NMA 2910 (Cláusula de Inhabilitación), LMA 3092 (All Risks), LMA 3100A (Limitación de Sanciones), NMA 464 (Exclusión de Guerra y Guerra Civil)",
105,Cotizacion,Theta,8,Reaseguro Facultativo de Vida,"Compañía de Seguros del Valle, Mutua Mexicana",Constructora Alpha,"Calle Insurgentes 261, Col. Roma, Puebla, México",2025-06-24,2027-08-02,Administración de edificios corporativos y comerciales,19021013,Daños materiales y pérdidas por cualquier causa en inmuebles y activos,5000000,"Responsabilidad civil, Daños eléctricos, Vandalismo, Agua, Terremoto, Robo, Incendio, Pérdida de ingresos","Gastos de defensa incluidos, Sujeto a LMA 2001, Arbitraje internacional","Actos delictivos, Negligencia grave, Inestabilidad política, Guerra y terrorismo, Daños intencionales","General: USD 93,000; Robo: USD 62,000; Terremoto: USD 87,000; Daños eléctricos: USD 23,000; Pérdida de ingresos: USD 60,000",769158,8% parte del 100%,Ocurrencia,Latinoamérica,Leyes de Canadá,45 días,"NMA 2738 (Control de Reclamos), NMA 2910 (Cláusula de Inhabilitación), LMA 3092 (All Risks), LMA 3100A (Limitación de Sanciones), NMA 464 (Exclusión de Guerra y Guerra Civil)",
106,Nota,,,Reaseguro Facultativo Todo Riesgo,"Grupo Financiero Unión, Compañía de Seguros del Valle",Transportes Beta,"Av. Reforma 568, Col. Roma, Ciudad de México, México",2026-04-28,2028-07-09,Servicios financieros,6410776,Responsabilidad civil y pérdidas operacionales,5000000,"Robo, Daños eléctricos, Agua, Terremoto","Sujeto a LMA 2001, Gastos de defensa incluidos, Arbitraje internacional","Negligencia grave, Inestabilidad política","General: USD 53,000; Robo: USD 66,000; Terremoto: USD 15,000; Daños eléctricos: USD 44,000; Pérdida de ingresos: USD 78,000",6009263,100% parte del 100%,Suma Agregada,México,Leyes de Canadá,90 días,"NMA 464 (Exclusión de Guerra y Guerra Civil), NMA 2738 (Control de Reclamos), LMA 3092 (All Risks), NMA 2962 (Exclusión de Daños por Agua)",Reasegurador 16 100% parte del 100%
106,Cotizacion,Reasegurador 16,100,Reaseguro Facultativo Todo Riesgo,"Grupo Financiero Unión, Compañía de Seguros del Valle",Transportes Beta,"Av. Reforma 568, Col. Roma, Ciudad de México, México",2026-04-28,2028-07-09,Servicios financieros,6410776,Responsabilidad civil y pérdidas operacionales,5000000,"Robo, Daños eléctricos, Agua, Terremoto","Sujeto a LMA 2001, Gastos de defensa incluidos, Arbitraje internacional","Negligencia grave, Inestabilidad política","General: USD 53,000; Robo: USD 66,000; Terremoto: USD 15,000; Daños eléctricos: USD 44,000; Pérdida de ingresos: USD 78,000",6009263,100% parte del 100%,Suma Agregada,México,Leyes de Canadá,90 días,"NMA 464 (Exclusión de Guerra y Guerra Civil), NMA 2738 (Control de Reclamos), LMA 3092 (All Risks), NMA 2962 (Exclusión de Daños por Agua)",
107,Nota,,,Reaseguro Facultativo de Autos,"Mutua Mexicana, Seguros Central, S.A.",Tecnologías Delta,"Av. Reforma 473, Col. Centro, Querétaro, México",2025-02-01,2026-11-29,Exploración minera,12945339,Robo y vandalismo,7500000,"Terremoto, Agua, Pérdida de ingresos, Robo, Responsabilidad civil, Daños eléctricos","Arbitraje internacional, Texto LMA 6000A, Cancelación por mutuo acuerdo","Inestabilidad política, Negligencia grave, Actos delictivos","General: USD 96,000; Robo: USD 33,000; Terremoto: USD 83,000; Daños eléctricos: USD 22,000; Pérdida de ingresos: USD 77,000",3520482,100% parte del 100%,Ocurrencia,México,Leyes de Canadá,30 días,"NMA 2962 (Exclusión de Daños por Agua), LMA 3100A (Limitación de Sanciones), NMA 2910 (Cláusula de Inhabilitación), NMA 2738 (Control de Reclamos), NMA 464 (Exclusión de Guerra y Guerra Civil)",Epsilon 55% parte del 100%; Virgo 45% parte del 100%
107,Cotizacion,Epsilon,55,Reaseguro Facultativo de Autos,"Mutua Mexicana, Seguros Central, S.A.",Tecnologías Delta,"Av. Reforma 473, Col. Centro, Querétaro, México",2025-02-01,2026-11-29,Exploración minera,12945339,Robo y vandalismo,7500000,"Terremoto, Agua, Pérdida de ingresos, Robo, Responsabilidad civil, Daños eléctricos","Arbitraje internacional, Texto LMA 6000A, Cancelación por mutuo acuerdo","Inestabilidad política, Negligencia grave, Actos delictivos","General: USD 96,000; Robo: USD 33,000; Terremoto: USD 83,000; Daños eléctricos: USD 22,000; Pérdida de ingresos: USD 77,000",2035226,55% parte del 100%,Ocurrencia,México,Leyes de Canadá,30 días,"NMA 2962 (Exclusión de Daños por Agua), LMA 3100A (Limitación de Sanciones), NMA 2910 (Cláusula de Inhabilitación), NMA 2738 (Control de Reclamos), NMA 464 (Exclusión de Guerra y Guerra Civil)",
107,Cotizacion,Virgo,45,Reaseguro Facultativo de Autos,"Mutua Mexicana, Seguros Central, S.A.",Tecnologías Delta,"Av. Reforma 294, Col. Santa Fe, Mérida, México",2025-02-01,2026-11-29,Exploración minera,12945339,Robo y vandalismo,7500000,"Terremoto, Agua, Pérdida de ingresos, Robo, Responsabilidad civil, Daños eléctricos","Arbitraje internacional, Texto LMA 6000A, Cancelación por mutuo acuerdo","Inestabilidad política, Negligencia grave, Actos delictivos","General: USD 96,000; Robo: USD 33,000; Terremoto: USD 83,000; Daños eléctricos: USD 22,000; Pérdida de ingresos: USD 77,000",1584216,45% parte del 100%,Ocurrencia,México,Leyes de Canadá,30 días,"NMA 2962 (Exclusión de Daños por Agua), LMA 3100A (Limitación de Sanciones), NMA 2910 (Cláusula de Inhabilitación), NMA 2738 (Control de Reclamos), NMA 464 (Exclusión de Guerra y Guerra Civil)",
108,Nota,,,Reaseguro Facultativo de Autos,"Seguros Central, S.A., Aseguradora Nacional",Constructora Alpha,"Prolongación Las Fuentes 595, Col. Santa Fe, Mérida, México",2027-07-22,2030-06-19,Fabricación de automóviles,5252892,Robo y vandalismo,7500000,"Daños eléctricos, Responsabilidad civil, Pérdida de ingresos, Incendio","Sujeto a LMA 2001, Cancelación por mutuo acuerdo","Contaminación, Actos delictivos","General: USD 4,000; Robo: USD 36,000; Terremoto: USD 72,000; Daños eléctricos: USD 2,000; Pérdida de ingresos: USD 84,000",4835391,100% parte del 100%,Suma Directa,México,Leyes Latam,45 días,"NMA 464 (Exclusión de Guerra y Guerra Civil), LMA 3100A (Limitación de Sanciones)",Reasegurador 6 21% parte del 100%; Reasegurador 17 79% parte del 100%
108,Cotizacion,Reasegurador 6,21,Reaseguro Facultativo de Autos,"Seguros Central, S.A., Aseguradora Nacional",Constructora Alpha,"Prolongación Las Fuentes 595, Col. Santa Fe, Mérida, México",2027-07-22,2030-06-19,Fabricación de automóviles,5252892,Robo y vandalismo,7500000,"Daños eléctricos, Responsabilidad civil, Pérdida de ingresos, Incendio","Sujeto a LMA 2001, Cancelación por mutuo acuerdo","Contaminación, Actos delictivos","General: USD 4,000; Robo: USD 36,000; Terremoto: USD 72,000; Daños eléctricos: USD 2,000; Pérdida de ingresos: USD 84,000",1015432,21% parte del 100%,Suma Directa,México,Leyes Latam,45 días,"NMA 464 (Exclusión de Guerra y Guerra Civil), LMA 3100A (Limitación de Sanciones)",
108,Cotizacion,Reasegurador 17,79,Reaseguro Facultativo de Autos,"Seguros Central, S.A., Aseguradora Nacional",Constructora Alpha,"Prolongación Las Fuentes 595, Col. Santa Fe, Mérida, México",2027-07-22,2030-06-19,Fabricación de automóviles,5252892,Robo y vandalismo,7500000,"Daños eléctricos, Responsabilidad civil, Pérdida de ingresos, Incendio","Sujeto a LMA 2001, Cancelación por mutuo acuerdo","Contaminación, Actos delictivos","General: USD 4,000; Robo: USD 36,000; Terremoto: USD 72,000; Daños eléctricos: USD 2,000; Pérdida de ingresos: USD 84,000",3819958,79% parte del 100%,Suma Directa,México,Leyes Latam,45 días,"NMA 464 (Exclusión de Guerra y Guerra Civil), LMA 3100A (Limitación de Sanciones)",
